movie_id,title,movie_img,avg_rating
m318,"Shawshank Redemption, The (1994)",https://liangfgithub.github.io/MovieImages/318,4.554557700942973
m858,"Godfather, The (1972)",https://liangfgithub.github.io/MovieImages/858,4.524966261808367
m50,"Usual Suspects, The (1995)",https://liangfgithub.github.io/MovieImages/50,4.517106001121705
m527,Schindler's List (1993),https://liangfgithub.github.io/MovieImages/527,4.510416666666667
m1198,Raiders of the Lost Ark (1981),https://liangfgithub.github.io/MovieImages/1198,4.477724741447892
m904,Rear Window (1954),https://liangfgithub.github.io/MovieImages/904,4.476190476190476
m260,Star Wars: Episode IV - A New Hope (1977),https://liangfgithub.github.io/MovieImages/260,4.453694416583082
m750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),https://liangfgithub.github.io/MovieImages/750,4.4498902706656915
m912,Casablanca (1942),https://liangfgithub.github.io/MovieImages/912,4.412822049131217
m2762,"Sixth Sense, The (1999)",https://liangfgithub.github.io/MovieImages/2762,4.406262708418057
